iter	Logloss
0	0.6887699637
1	0.684587764
2	0.6809576558
3	0.6772607125
4	0.6743654747
5	0.6699571145
6	0.667194889
7	0.6633850565
8	0.660735709
9	0.6582739736
10	0.6551947453
11	0.6527241802
12	0.6497159902
13	0.6471583901
14	0.6445602906
15	0.6419959843
16	0.6398784584
17	0.6377834245
18	0.6353609082
19	0.6329304944
20	0.630374233
21	0.6276244575
22	0.6249545732
23	0.6222538145
24	0.6189698106
25	0.6167954559
26	0.6143924702
27	0.6123550322
28	0.6102038312
29	0.6081354299
30	0.6063560274
31	0.6038334847
32	0.6018220614
33	0.600126631
34	0.5980370111
35	0.5965550167
36	0.594685048
37	0.5927796772
38	0.5903240293
39	0.5887210146
40	0.587019993
41	0.5855212369
42	0.583767537
43	0.581542553
44	0.5795161523
45	0.5779327513
46	0.5766158652
47	0.5750504127
48	0.5733407864
49	0.5715025627
50	0.5686350713
51	0.5675391762
52	0.5652937787
53	0.5640011106
54	0.5622753876
55	0.5606431414
56	0.5587799639
57	0.5569683147
58	0.5559752122
59	0.5542766415
60	0.5525889114
61	0.5508437064
62	0.549605531
63	0.5483542051
64	0.5472324015
65	0.5458492833
66	0.5438698496
67	0.5426248952
68	0.5412295627
69	0.5397527513
70	0.5380576211
71	0.5369277101
72	0.5353559289
73	0.5335893035
74	0.5321722116
75	0.5303909364
76	0.5293220359
77	0.5274576486
78	0.5261706144
79	0.5249104334
80	0.5239239502
81	0.5228240721
82	0.5214478716
83	0.5201726562
84	0.5185298886
85	0.5175009068
86	0.5160555681
87	0.5151263959
88	0.5136882438
89	0.5127949189
90	0.5114575045
91	0.5100316782
92	0.5087627605
93	0.5076335257
94	0.5062683143
95	0.5049164777
96	0.5039078281
97	0.5028510006
98	0.5014130363
99	0.4998739598
100	0.4985587469
101	0.4973176288
102	0.4959601888
103	0.4947740968
104	0.4936771898
105	0.4921446545
106	0.4908387599
107	0.4897362174
108	0.4888002917
109	0.4872356351
110	0.4859725761
111	0.4849683909
112	0.4834409243
113	0.4821341867
114	0.4803677563
115	0.4789508322
116	0.4768068262
117	0.4755788341
118	0.4744820588
119	0.4730776691
120	0.4721245378
121	0.4710093922
122	0.4698022156
123	0.4684092542
124	0.4678663848
125	0.4665108314
126	0.4655728947
127	0.4643077868
128	0.4631530961
129	0.4622315882
130	0.4610273556
131	0.4598331743
132	0.4586071232
133	0.457458092
134	0.4565059709
135	0.4551652305
136	0.4542406504
137	0.4533052272
138	0.4519382485
139	0.4509731374
140	0.4497791573
141	0.4489075413
142	0.4478236077
143	0.4464860901
144	0.4458618047
145	0.4450916708
146	0.4444452436
147	0.4434658194
148	0.4424080556
149	0.4412526177
150	0.4401040144
151	0.4393391394
152	0.4385279825
153	0.4377383355
154	0.4369171119
155	0.4351381503
156	0.4339619741
157	0.4327612884
158	0.4316212045
159	0.4302709672
160	0.4291476183
161	0.4284612012
162	0.4278325897
163	0.4268106656
164	0.4254061606
165	0.4245856093
166	0.4234620526
167	0.4228564749
168	0.4222064867
169	0.4210676604
170	0.4201816472
171	0.4195231577
172	0.4184903373
173	0.4173883887
174	0.4162476319
175	0.4153749856
176	0.4145066888
177	0.4134864087
178	0.4125505573
179	0.4114499312
180	0.4110095549
181	0.410567463
182	0.4094755949
183	0.40834765
184	0.4074131332
185	0.4063691008
186	0.4055078475
187	0.4046743702
188	0.4035309235
189	0.4025957299
190	0.4016559269
191	0.4007609826
192	0.3998792292
193	0.3987561504
194	0.3978398347
195	0.3965716992
196	0.3956515629
197	0.3947936206
198	0.3939191404
199	0.3925698132
200	0.3920618895
201	0.391194305
202	0.3899109883
203	0.3891405236
204	0.3883678814
205	0.3878711961
206	0.3870758401
207	0.3864954817
208	0.3856857805
209	0.3847314351
210	0.3839627106
211	0.3834234443
212	0.3826700938
213	0.382135092
214	0.3809974576
215	0.3801307967
216	0.3794900107
217	0.3784416957
218	0.3778228836
219	0.3770884313
220	0.3764687626
221	0.3757467564
222	0.374823102
223	0.3741735721
224	0.3728723251
225	0.3719795842
226	0.3710678357
227	0.3703877442
228	0.3696995225
229	0.3690087388
230	0.3682574733
231	0.3678170911
232	0.367245763
233	0.3663185714
234	0.3657527472
235	0.3651954097
236	0.3644457139
237	0.3634567119
238	0.3623952751
239	0.3613347334
240	0.3605002484
241	0.3595336856
242	0.3586436542
243	0.3576707017
244	0.3567283199
245	0.3560841815
246	0.355472722
247	0.3546581139
248	0.3536072069
249	0.3528740108
250	0.3520480309
251	0.35109591
252	0.3506092857
253	0.3497864524
254	0.3490789417
255	0.3485876804
256	0.3479624011
257	0.3469525905
258	0.3463702949
259	0.3454027058
260	0.344885669
261	0.3439447115
262	0.3432521346
263	0.3423560059
264	0.3413784111
265	0.3407965656
266	0.3401612701
267	0.3396564604
268	0.3385157153
269	0.3376762201
270	0.3367946746
271	0.3362040266
272	0.3353216685
273	0.3345895708
274	0.3339746019
275	0.333039141
276	0.3324597729
277	0.3317043436
278	0.3307953817
279	0.3299052153
280	0.3291714032
281	0.3285143188
282	0.3280014753
283	0.3273845148
284	0.3267958249
285	0.3263121209
286	0.3255127489
287	0.3246255014
288	0.32387621
289	0.3232004742
290	0.3226558318
291	0.3220480986
292	0.3212767917
293	0.3205281824
294	0.3200277234
295	0.3192206137
296	0.3186383171
297	0.3177599027
298	0.3170415271
299	0.316184249
300	0.3157143752
301	0.3152092281
302	0.3140994192
303	0.3137032191
304	0.3129945016
305	0.3124449099
306	0.3117944953
307	0.3113339867
308	0.3109928389
309	0.310387838
310	0.309610597
311	0.3087890642
312	0.307875126
313	0.3071951656
314	0.3063335471
315	0.3054708299
316	0.304667311
317	0.3038314997
318	0.3032227971
319	0.3024912104
320	0.3014856918
321	0.3009281832
322	0.3004612623
323	0.2996694863
324	0.2989722422
325	0.2985691486
326	0.2980690669
327	0.2976339146
328	0.2970981633
329	0.296282877
330	0.2957480165
331	0.2950933395
332	0.2945284596
333	0.2940724978
334	0.2934040944
335	0.2927175841
336	0.2918720653
337	0.2912918294
338	0.2908282711
339	0.2902401902
340	0.2893167156
341	0.2888595561
342	0.2878763249
343	0.2871360762
344	0.286516254
345	0.2857932724
346	0.2851298
347	0.2845610306
348	0.2837323701
349	0.2832615696
350	0.2828560853
351	0.2824131208
352	0.281593377
353	0.2810187831
354	0.2803827917
355	0.2795296636
356	0.278785231
357	0.2781719917
358	0.2773337228
359	0.2767661765
360	0.2760517607
361	0.2752497595
362	0.2745421929
363	0.2738992366
364	0.2732666931
365	0.2725653128
366	0.2720209856
367	0.2713267907
368	0.2708580046
369	0.2700682833
370	0.2693905929
371	0.2688376602
372	0.2680974536
373	0.267430044
374	0.266705308
375	0.2661043663
376	0.2655949746
377	0.2649615226
378	0.264472876
379	0.2641746682
380	0.2637718921
381	0.2631544286
382	0.2625528012
383	0.2619690932
384	0.2613364465
385	0.2607545312
386	0.2601237055
387	0.2595832335
388	0.259130589
389	0.2586237701
390	0.2580583438
391	0.257514241
392	0.2569643093
393	0.2563417541
394	0.2558830366
395	0.255317294
396	0.2548615592
397	0.2544296235
398	0.2540153348
399	0.2532724483
400	0.2527611031
401	0.2523502543
402	0.2517911007
403	0.2511040435
404	0.2504451837
405	0.2498649298
406	0.2494071656
407	0.2488615494
408	0.2482177339
409	0.247757127
410	0.2474163385
411	0.2469471281
412	0.2462264816
413	0.2457817399
414	0.2453588422
415	0.2449400127
416	0.244345877
417	0.2438598939
418	0.2430149248
419	0.2424693347
420	0.2420259266
421	0.241613749
422	0.2410028495
423	0.2403648541
424	0.2398440527
425	0.239411857
426	0.238974489
427	0.238627686
428	0.2383097617
429	0.237812258
430	0.2372869528
431	0.236679734
432	0.2363280201
433	0.2357171637
434	0.2353549867
435	0.2349778176
436	0.2346627546
437	0.2341009206
438	0.2334171885
439	0.2330456156
440	0.2325332559
441	0.2319300572
442	0.2314206319
443	0.2309638163
444	0.2305934676
445	0.2300367116
446	0.2295420207
447	0.2290237219
448	0.2285309734
449	0.2279725581
450	0.2276622788
451	0.2271675146
452	0.2266692111
453	0.2262066095
454	0.2257516125
455	0.2251955059
456	0.2247495796
457	0.2242908867
458	0.2237720593
459	0.2232954055
460	0.2228836689
461	0.2223219296
462	0.2219152311
463	0.2216446006
464	0.2213061105
465	0.220775027
466	0.2202574783
467	0.2198751876
468	0.2192783421
469	0.2188496809
470	0.2184426953
471	0.2178790916
472	0.2175408521
473	0.217052579
474	0.216609821
475	0.2161489938
476	0.2156444354
477	0.2150606136
478	0.2146803036
479	0.2143232036
480	0.2140345511
481	0.2135500152
482	0.2130508066
483	0.2127293771
484	0.2124832699
485	0.2119627642
486	0.2114216536
487	0.2110371777
488	0.2105921834
489	0.2102149602
490	0.2096655799
491	0.209246971
492	0.2087646103
493	0.2082781613
494	0.2079103513
495	0.2074140203
496	0.2071500534
497	0.2067407783
498	0.2064041191
499	0.2058558076
