iter	Passed	Remaining
0	2	1365
1	5	1277
2	7	1209
3	9	1185
4	12	1221
5	14	1208
6	17	1204
7	19	1181
8	21	1171
9	23	1159
10	25	1151
11	27	1134
12	30	1151
13	33	1145
14	35	1137
15	37	1131
16	40	1138
17	42	1150
18	45	1144
19	47	1143
20	50	1140
21	52	1132
22	54	1125
23	56	1118
24	58	1114
25	60	1110
26	63	1109
27	65	1105
28	67	1100
29	69	1095
30	72	1091
31	74	1087
32	76	1080
33	78	1082
34	81	1083
35	83	1082
36	86	1078
37	88	1073
38	90	1069
39	92	1066
40	95	1073
41	98	1069
42	100	1065
43	102	1061
44	104	1056
45	106	1053
46	109	1050
47	111	1048
48	113	1045
49	115	1042
50	117	1038
51	120	1035
52	122	1031
53	124	1031
54	126	1026
55	129	1023
56	131	1020
57	133	1016
58	135	1013
59	137	1010
60	139	1007
61	141	1002
62	144	999
63	146	997
64	148	995
65	150	991
66	152	987
67	155	985
68	157	982
69	159	979
70	161	976
71	163	973
72	166	971
73	168	968
74	170	965
75	172	962
76	174	960
77	177	957
78	179	959
79	182	957
80	184	955
81	186	952
82	188	949
83	191	950
84	194	948
85	196	946
86	199	948
87	202	948
88	204	945
89	207	943
90	209	941
91	212	940
92	214	937
93	216	934
94	218	931
95	220	928
96	222	926
97	225	923
98	227	921
99	229	919
100	232	917
101	234	915
102	237	913
103	240	915
104	242	913
105	244	910
106	247	907
107	249	904
108	251	902
109	254	901
110	256	899
111	258	896
112	260	893
113	262	890
114	265	888
115	268	888
116	270	885
117	272	883
118	275	880
119	277	878
120	279	875
121	282	874
122	284	872
123	286	869
124	290	870
125	292	868
126	294	865
127	296	862
128	298	859
129	301	856
130	303	855
131	305	852
132	307	849
133	310	848
134	312	845
135	314	843
136	317	841
137	319	838
138	322	836
139	324	834
140	326	831
141	328	828
142	331	827
143	343	849
144	346	847
145	348	845
146	351	844
147	353	841
148	356	838
149	358	837
150	361	834
151	363	832
152	366	830
153	368	827
154	370	824
155	372	821
156	375	821
157	378	818
158	380	815
159	382	813
160	384	810
161	386	807
162	389	804
163	391	802
164	393	799
165	396	797
166	398	794
167	400	792
168	402	789
169	405	786
170	407	783
171	409	780
172	411	778
173	413	775
174	416	773
175	419	771
176	421	768
177	423	766
178	426	763
179	428	761
180	430	758
181	433	756
